park_id,park_code,name,description,url
1054,brvb,Brown v. Board of Education National Historical Park,"The path to equality has been anything but smooth. It's taken courage and dedication by everyday people coming together for a common goal to carry the country toward true equality. Parents, teachers, secretaries, welders, ministers and students drove their communities, and the country along with them, toward justice in a series of often unsteady turns leading to the Brown v. Board Decision.",https://www.nps.gov/brvb/index.htm
1055,brca,Bryce Canyon National Park,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",https://www.nps.gov/brca/index.htm
1056,buis,Buck Island Reef National Monument,"Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike. For the General Management Plan and Environmental Compliance, visit the News page.",https://www.nps.gov/buis/index.htm
1057,buff,Buffalo National River,"Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.",https://www.nps.gov/buff/index.htm
1058,buov,Butterfield Overland National Historic Trail,"In 1857, businessman and transportation entrepreneur John Butterfield was awarded a contract to establish an overland mail route between the eastern United States and growing populations in the Far West. What became known as the Butterfield Overland Trail made an arcing sweep across the southern rim of the country. Stagecoaches left twice a week carrying passengers, freight, and mail.",https://www.nps.gov/buov/index.htm
1059,cabr,Cabrillo National Monument,"Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",https://www.nps.gov/cabr/index.htm
1060,cali,California National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",https://www.nps.gov/cali/index.htm
1061,cane,Camp Nelson National Monument,The US Army established Camp Nelson as a fortified supply depot in April 1863. The site evolved into a massive recruitment and training center for African American soldiers (United States Colored Troops) and a refugee camp for their families. Camp Nelson served as a shelter for civilians fleeing war and for enslaved people hoping to secure their freedom and aid in the destruction of slavery.,https://www.nps.gov/cane/index.htm
1062,cana,Canaveral National Seashore,"Reflect on the barrier island which is composed of dune, hammock, and lagoon habitat. Explore ancient Timucua shell mounds. Experience the sanctuary that is provided for thousands of species of plants and animals that call Canaveral National Seashore home.",https://www.nps.gov/cana/index.htm
1063,cari,Cane River Creole National Historical Park,"The Cane River region is home to a unique culture; the Creoles. Generations of the same families of workers, enslaved and tenant, and owners lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.",https://www.nps.gov/cari/index.htm
1064,cach,Canyon de Chelly National Monument,"For nearly 5,000 years, people have lived in these canyons - longer than anyone has lived uninterrupted anywhere on the Colorado Plateau. In the place called Tsegi, their homes and images tell us their stories. Today, Dine' families make their homes, raise livestock, and farm the lands in the canyons. A place like no other, the park and Navajo Nation work together to manage the land's resources.",https://www.nps.gov/cach/index.htm
1065,cany,Canyonlands National Park,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",https://www.nps.gov/cany/index.htm
1066,caco,Cape Cod National Seashore,"The great Outer Beach described by Thoreau in the 1800s is protected within the national seashore. Forty miles of pristine sandy beach, marshes, ponds, and uplands support diverse species. Lighthouses, cultural landscapes, and wild cranberry bogs offer a glimpse of Cape Cod's past and continuing ways of life. Swimming beaches and walking and biking trails beckon today's visitors.",https://www.nps.gov/caco/index.htm
1067,caha,Cape Hatteras National Seashore,"The sound of ocean waves, the starry night sky, or the calm of the salt marshes, you can experience it all. Shaped by the forces of water, wind, and storms these islands are ever changing. The plants, wildlife, and people who live here adapt continually. Whether you are enjoying the beach, kayaking the sound, or climbing the Cape Hatteras Lighthouse there is something for everyone to explore!",https://www.nps.gov/caha/index.htm
1068,came,Cape Henry Memorial Part of Colonial National Historical Park,"English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown.",https://www.nps.gov/came/index.htm
1069,cakr,Cape Krusenstern National Monument,"North of the Arctic Circle, the monument forms 70 miles of shoreline on the Chukchi Sea. More than 114 beach ridges provide evidence of human use for 5,000 years. The Inupiat continue to use the area today. Vast wetlands provide habitat for shorebirds from as far away as South America. Hikers and boaters can see carpets of wildflowers among shrubs containing wisps of qiviut from muskoxen.",https://www.nps.gov/cakr/index.htm
1070,calo,Cape Lookout National Seashore,"A boat ride three miles off-shore brings you to the barrier islands of Cape Lookout National Seashore. Horse watching, shelling, fishing, birding, camping, lighthouse climbing, and touring historic villages--there’s something for everyone at Cape Lookout. Be sure to bring all the food, water, and supplies you need (and carry your trash out of the park) when visiting these remote beaches.",https://www.nps.gov/calo/index.htm
1071,cahi,Capitol Hill Parks,"The Capitol Hill Parks include several park areas east of the U.S. Capitol. Included in this group are Folger, Lincoln, Stanton, and Marion Parks, the Eastern Market and Potomac Avenue Metro stations, and several smaller land parcels such as Seward Square, Twining Square, the Maryland Avenue Triangles, the Pennsylvania Avenue Medians, and 59 inner-city triangles and squares.",https://www.nps.gov/cahi/index.htm
1072,care,Capitol Reef National Park,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.",https://www.nps.gov/care/index.htm
1073,cajo,Captain John Smith Chesapeake National Historic Trail,"People first arrived in the Chesapeake Bay during the last ice age. As glaciers melted, diverse societies learned to thrive in a world of water. When Englishman Captain John Smith explored the Bay in 1608, he documented hundreds of American Indian communities. Today, sites on his map are archeological treasures and sacred sites for tribal citizens. Come join us on the shores of the Chesapeake Bay!",https://www.nps.gov/cajo/index.htm
1074,cavo,Capulin Volcano National Monument,"Part of the 8,000 square mile Raton-Clayton Volcanic Field, Capulin Volcano showcases the volcanic geology of northeastern New Mexico. The views are spectacular day or night, with views of 4 different states from the volcanic rim and one of the darkest night skies in the country. Whether it's a quick stop or a day's trip, enjoy exploring the landscape of this unique volcano!",https://www.nps.gov/cavo/index.htm
1075,carl,Carl Sandburg Home National Historic Site,"“I make it clear why I write as I do and why other poets write as they do. After hundreds of experiments I decided to go my own way in style and see what would happen.” Carl Sandburg's free verse style of poetry, journalism, biography, children's stories, prose writing, and social activism provided a popular voice for the American people of the twentieth century.",https://www.nps.gov/carl/index.htm
1076,cave,Carlsbad Caverns National Park,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.",https://www.nps.gov/cave/index.htm
1077,cawo,Carter G. Woodson Home National Historic Site,"Before Dr. Carter G. Woodson, there was very little accurate written history about the lives and experiences of Americans of African descent. Today a National Historic Site, Dr. Woodson’s home served as the headquarters for the Association for the Study of African American Life and History. Dr. Woodson established Negro History Week here in 1926, which we celebrate today as Black History Month.",https://www.nps.gov/cawo/index.htm
1078,cagr,Casa Grande Ruins National Monument,"Explore the history and stories of an extended network of communities and irrigation canals. An Ancestral Sonoran Desert People's farming community and ""Great House"" are preserved at Casa Grande Ruins. Whether the Casa Grande was a gathering place for the Desert People or simply a waypoint marker in an extensive system of canals and trading partners is but part of the story of the Ruins.",https://www.nps.gov/cagr/index.htm
1079,casa,Castillo de San Marcos National Monument,"Built by the Spanish in St. Augustine to defend Florida and the Atlantic trade route, Castillo de San Marcos National Monument preserves the oldest masonry fortification in the continental United States and interprets more than 450 years of cultural intersections.",https://www.nps.gov/casa/index.htm
1080,cacl,Castle Clinton National Monument,"Located at the southern tip of Manhattan Island, Castle Clinton stands where New York City began, and represents not only the city’s growth, but the growth of a nation. Initially intended to prevent a British invasion in 1812, the fortification has transformed over the years to welcome theatergoers, immigrants, sightseers, and now, millions of visitors to New York Harbor.",https://www.nps.gov/cacl/index.htm
1081,camo,Castle Mountains National Monument,"Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas.",https://www.nps.gov/camo/index.htm
1082,cato,Catoctin Mountain Park,"President Franklin D. Roosevelt created programs to give people a chance to rebuild their lives from the Great Depression. The Works Progress Administration and the Civilian Conservation Corps gave this land a second opportunity and through re-growth, a new role as a recreation area.",https://www.nps.gov/cato/index.htm
1083,cebr,Cedar Breaks National Monument,"Crowning the grand staircase, Cedar Breaks sits at over 10,000 feet and looks down into a half-mile deep geologic amphitheater. Come wander among timeless bristlecone pines, stand in lush meadows of wildflower, ponder crystal-clear night skies and experience the richness of our subalpine forest.",https://www.nps.gov/cebr/index.htm
1084,cebe,Cedar Creek & Belle Grove National Historical Park,"Virginia’s Shenandoah Valley has a long and rich heritage that still inspires today. Native Americans first shaped the land, followed by colonists and settlers. The fertile valley became an important wheat-growing region in the 1800s. It also witnessed dramatic Civil War campaigns, including the Battle of Cedar Creek, a decisive Federal victory that helped bring the war to an end.",https://www.nps.gov/cebe/index.htm
1085,chcu,Chaco Culture National Historical Park,"Explore the monumental structures and breathtaking landscape at Chaco, a thriving regional center for the ancestral Pueblo people from 850 to 1250 CE (Common Era), through guided tours, hiking & biking trails, evening campfire talks, night sky programs, and more. Chaco Canyon is a sacred and deeply personal place for many Indigenous peoples throughout the Southwest. Please visit with respect.",https://www.nps.gov/chcu/index.htm
1086,cham,Chamizal National Memorial,Chamizal is more than just an urban park to recreate or enjoy a quiet afternoon. These grounds are a reminder of the harmonious settlement of a 100-year boundary dispute between the United States and Mexico. We celebrate the cultures of the borderlands to promote the same mutual respect that helped to diplomatically resolve an international disagreement.,https://www.nps.gov/cham/index.htm
1087,chis,Channel Islands National Park,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.",https://www.nps.gov/chis/index.htm
1088,chpi,Charles Pinckney National Historic Site,"Charles Pinckney was a principal author and signer of the United States Constitution and went on to be a political leader in South Carolina for over 40 years. The park preserves Snee Farm, one of his plantation properties, where visitors can learn about the politician's influences on Charleston, the African people he enslaved, plantation operations, and the legacy of Pinckney's life.",https://www.nps.gov/chpi/index.htm
1089,chyo,Charles Young Buffalo Soldiers National Monument,"Throughout his life, Charles Young overcame countless obstacles in his ascent to prominence. In spite of overt racism and stifling inequality, Young rose through the military ranks to become one of the most respected leaders of his time. A well-rounded man with a steadfast devotion to duty, Young led by example and inspired a generation of new leaders.",https://www.nps.gov/chyo/index.htm
