name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Cottonwood Campground,bibe,,-103.522514,29.1367804,22,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/234078
Cottonwood Cove Campground (Lake Mohave),lake,,-114.6950335,35.48775572,45,45,0,[],,,[],,https://www.recreation.gov/camping/campgrounds/10068512
Cottonwood Cove RV Park (Lake Mead),lake,,-114.6883523,35.49080255,72,0,72,[],,,[],,
Cougar Rock Campground,mora,,-121.7923708,46.7676068,179,78,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232466
Coves Group Backpacking Site,piro,,-86.395902,46.56088,1,1,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Coves Individual Backpacking Sites,piro,,-86.372254,46.568171,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Crabtree Falls Campground,blri,NC,-82.14556897,35.81538605,81,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258667
Crane Flat Campground,yose,,-119.800259,37.74979608,162,88,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232452
Crystal Creek,whis,CA,-122.6710333,40.6422,2,2,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272247
Crystal Springs Campground,seki,CA,-118.9629581,36.74532774,50,0,0,['None'],No,No,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/251008
Cumberland Valley Hiker-Biker Campsite,choh,MD,-77.853069,39.562141,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Cut Bank,glac,MT,-113.3769497,48.60599159,14,0,0,['None'],No,No,['No water'],No,
D. H. Day Campground,slbe,MI,-86.02006,44.89615,87,23,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/259242
D. H. Day Campground Group Campground,slbe,MI,-86.02006,44.89615,4,4,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232457
Daisy Farm Campground,isro,MI,-88.59622128,48.09208065,25,6,0,['None'],No,Yes - seasonal,"['Water', ' but not potable']",No,
Davis Bayou Campground,guis,MS,-88.795595,30.397808,52,3,52,['Hot - Year Round'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Dayboard 9 Campground,bica,MT,-108.0028519,45.2651648,5,5,0,['None'],No,No,['No water'],No,
Deep Creek Campground,grsm,NC,-83.43466297,35.46031235,92,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Deerlodge Park Campground,dino,CO,-108.5133041,40.44648076,7,7,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Desert View Campground (Reservations Required),grca,AZ,-111.8226088,36.03893682,49,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258825
Devils Alley Hiker-Biker Campsite,choh,MD,-78.411328,39.622156,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Devils Garden Campground,arch,UT,-109.588799,38.77733292,51,0,0,['None'],No,Yes - seasonal,['No water'],Yes - year round,https://www.recreation.gov/camping/campgrounds/234059
Dingmans Campground,dewa,PA,-74.8736984,41.2110633,136,80,34,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Dog Canyon Campground,gumo,TX,-104.8328472,31.99489835,15,9,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/258852
Dorst Creek Campground,seki,CA,-118.8085026,36.63617121,222,12,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232460
Dosewallips Campground (Walk-In Only),olym,WA,-123.1647009,47.7373029,14,14,0,['None'],No,No,['No water'],No,
Doughton Park Campground,blri,NC,-81.15577587,36.42949265,108,75,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/233369
Douglas Spring,sagu,AZ,-110.606875,32.227981,0,0,0,[],,,[],,
Dry Creek Group Campground,whis,,-122.5807,40.6253167,2,2,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232455
Dry Gulch Campground,cure,,-107.1884373,38.48411448,9,0,0,['None'],No,No,['Yes - seasonal'],No,
Duck Harbor Campground,acad,ME,-68.6535294,44.0277949,5,5,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/264293
